[log] tee initialized at 2025-12-09 16:05:50 -> temp_Bidi_cvae_11param_2channel\cvae_20251209-160550\train.log
[Data] Warning: Single measurement sample detected. Duplicating to N=2 for BatchNorm compatibility.
[Info] Loading dual proxies from temp_Bidi_cvae_11param_2channel/proxy_dual
[L_trust] using 20000 ref rows from temp_Bidi_cvae_11param_2channel/proxy_dual\proxy_Ytr_norm.npy
D:\Miniconda\envs\DL\Lib\site-packages\torch\optim\lr_scheduler.py:182: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 >> Epoch 040 | Train Total=6.0338 | Val post/prior Total=4.1976/4.1192, Recon post/prior=0.8602/0.8919, KL=0.7451, | CycSim post total/iv/gm=0.2957/0.1348/0.1609, | CycSim prior total/iv/gm=0.3213/0.1470/0.1744, | CycMeas total/iv/gm=0.2163/0.0895/0.1268, | train Physical Sim/Meas=0.0035/1.0388, | PriorBnd post/prior=2.32e-03/2.28e-03 | Best 0.1123 | Patience 26/100
 >> Epoch 041 | Train Total=5.6975 | Val post/prior Total=3.7804/4.1438, Recon post/prior=0.8282/0.8683, KL=0.4782, | CycSim post total/iv/gm=0.2707/0.1238/0.1469, | CycSim prior total/iv/gm=0.3265/0.1495/0.1770, | CycMeas total/iv/gm=0.1173/0.0515/0.0659, | train Physical Sim/Meas=0.0033/1.0135, | PriorBnd post/prior=1.04e-03/1.11e-03 | Best 0.1123 | Patience 27/100
 >> Epoch 042 | Train Total=5.5529 | Val post/prior Total=3.9252/3.9908, Recon post/prior=0.8565/0.8937, KL=0.4422, | CycSim post total/iv/gm=0.2840/0.1266/0.1574, | CycSim prior total/iv/gm=0.3083/0.1400/0.1683, | CycMeas total/iv/gm=0.1941/0.0869/0.1072, | train Physical Sim/Meas=0.0032/0.9737, | PriorBnd post/prior=2.43e-03/3.33e-03 | Best 0.1123 | Patience 28/100
 >> Epoch 043 | Train Total=5.4194 | Val post/prior Total=3.7579/4.0011, Recon post/prior=0.8586/0.8997, KL=0.3984, | CycSim post total/iv/gm=0.2693/0.1196/0.1497, | CycSim prior total/iv/gm=0.3087/0.1350/0.1737, | CycMeas total/iv/gm=0.2033/0.0811/0.1222, | train Physical Sim/Meas=0.0031/0.9703, | PriorBnd post/prior=2.52e-03/2.31e-03 | Best 0.1123 | Patience 29/100
 >> Epoch 044 | Train Total=5.6801 | Val post/prior Total=4.0115/4.3463, Recon post/prior=0.8720/0.9086, KL=0.5592, | CycSim post total/iv/gm=0.2853/0.1309/0.1544, | CycSim prior total/iv/gm=0.3424/0.1525/0.1899, | CycMeas total/iv/gm=0.1902/0.0750/0.1152, | train Physical Sim/Meas=0.0033/0.9652, | PriorBnd post/prior=4.11e-03/1.96e-03 | Best 0.1123 | Patience 30/100
 >> Epoch 045 | Train Total=6.3753 | Val post/prior Total=3.6052/5.9549, Recon post/prior=0.8527/0.8941, KL=0.4091, | CycSim post total/iv/gm=0.2541/0.1132/0.1409, | CycSim prior total/iv/gm=0.5048/0.2120/0.2928, | CycMeas total/iv/gm=0.1450/0.0657/0.0793, | train Physical Sim/Meas=0.0038/0.9631, | PriorBnd post/prior=3.71e-03/1.60e-03 | Best 0.1123 | Patience 31/100
 >> Epoch 046 | Train Total=6.3301 | Val post/prior Total=3.7398/4.0668, Recon post/prior=0.8503/0.8901, KL=0.4329, | CycSim post total/iv/gm=0.2666/0.1217/0.1449, | CycSim prior total/iv/gm=0.3157/0.1425/0.1732, | CycMeas total/iv/gm=0.3631/0.1349/0.2281, | train Physical Sim/Meas=0.0037/0.9333, | PriorBnd post/prior=3.40e-03/2.02e-03 | Best 0.1123 | Patience 32/100
 >> Epoch 047 | Train Total=6.0233 | Val post/prior Total=4.0285/6.1594, Recon post/prior=0.8785/0.8946, KL=0.4436, | CycSim post total/iv/gm=0.2920/0.1322/0.1598, | CycSim prior total/iv/gm=0.5252/0.2226/0.3025, | CycMeas total/iv/gm=0.1543/0.0693/0.0850, | train Physical Sim/Meas=0.0035/0.9296, | PriorBnd post/prior=3.87e-03/7.07e-04 | Best 0.1123 | Patience 33/100
 >> Epoch 048 | Train Total=5.4417 | Val post/prior Total=3.8811/5.2158, Recon post/prior=0.8683/0.8906, KL=0.3628, | CycSim post total/iv/gm=0.2823/0.1298/0.1525, | CycSim prior total/iv/gm=0.4312/0.1857/0.2455, | CycMeas total/iv/gm=0.1621/0.0708/0.0913, | train Physical Sim/Meas=0.0032/0.9081, | PriorBnd post/prior=4.19e-03/6.51e-04 | Best 0.1123 | Patience 34/100
 >> Epoch 049 | Train Total=5.3685 | Val post/prior Total=4.0845/4.2149, Recon post/prior=0.8671/0.8699, KL=0.4086, | CycSim post total/iv/gm=0.3005/0.1429/0.1576, | CycSim prior total/iv/gm=0.3333/0.1568/0.1765, | CycMeas total/iv/gm=0.1324/0.0593/0.0731, | train Physical Sim/Meas=0.0031/0.8911, | PriorBnd post/prior=5.30e-03/1.01e-03 | Best 0.1123 | Patience 35/100
 >> Epoch 050 | Train Total=5.3616 | Val post/prior Total=3.5639/3.7211, Recon post/prior=0.8628/0.8619, KL=0.3266, | CycSim post total/iv/gm=0.2530/0.1138/0.1392, | CycSim prior total/iv/gm=0.2846/0.1290/0.1556, | CycMeas total/iv/gm=0.1541/0.0699/0.0842, | train Physical Sim/Meas=0.0031/0.8873, | PriorBnd post/prior=4.18e-03/2.50e-04 | Best 0.1123 | Patience 36/100
 >> Epoch 051 | Train Total=5.3256 | Val post/prior Total=3.5723/4.4247, Recon post/prior=0.8649/0.8749, KL=0.3201, | CycSim post total/iv/gm=0.2539/0.1111/0.1428, | CycSim prior total/iv/gm=0.3535/0.1542/0.1993, | CycMeas total/iv/gm=0.2085/0.0879/0.1206, | train Physical Sim/Meas=0.0031/0.8300, | PriorBnd post/prior=3.79e-03/2.51e-04 | Best 0.1123 | Patience 37/100
 >> Epoch 052 | Train Total=5.2246 | Val post/prior Total=3.8418/4.1085, Recon post/prior=0.8452/0.8484, KL=0.2224, | CycSim post total/iv/gm=0.2878/0.1314/0.1564, | CycSim prior total/iv/gm=0.3248/0.1485/0.1763, | CycMeas total/iv/gm=0.1180/0.0545/0.0635, | train Physical Sim/Meas=0.0030/0.8412, | PriorBnd post/prior=2.33e-03/1.09e-04 | Best 0.1123 | Patience 38/100
 >> Epoch 053 | Train Total=4.9736 | Val post/prior Total=3.6044/3.9602, Recon post/prior=0.8270/0.8270, KL=0.2332, | CycSim post total/iv/gm=0.2654/0.1210/0.1444, | CycSim prior total/iv/gm=0.3122/0.1437/0.1685, | CycMeas total/iv/gm=0.1168/0.0537/0.0632, | train Physical Sim/Meas=0.0029/0.8570, | PriorBnd post/prior=3.01e-04/1.20e-04 | Best 0.1123 | Patience 39/100
 >> Epoch 054 | Train Total=4.9140 | Val post/prior Total=3.4231/4.1890, Recon post/prior=0.8234/0.8344, KL=0.2588, | CycSim post total/iv/gm=0.2464/0.1121/0.1342, | CycSim prior total/iv/gm=0.3344/0.1536/0.1808, | CycMeas total/iv/gm=0.0985/0.0270/0.0715, | train Physical Sim/Meas=0.0028/0.8584, | PriorBnd post/prior=4.76e-05/4.42e-05 | Best 0.1123 | Patience 40/100
[Update] best val_cyc_meas improved to 0.098511 @ epoch 54
