[log] tee initialized at 2025-11-28 16:51:10 -> temp_Unidi_cvae_14param_2channel\cvae_20251128-165110\train.log
[Data] Warning: Single measurement sample detected. Duplicating to N=2 for BatchNorm compatibility.
[Info] Loading dual proxies from temp_Unidi_cvae_14param_2channel/proxy_dual
[L_trust] using 20000 ref rows from temp_Unidi_cvae_14param_2channel/proxy_dual\proxy_Ytr_norm.npy
D:\Miniconda\envs\DL\Lib\site-packages\torch\optim\lr_scheduler.py:182: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 >> Epoch 042 | Train Total=8.1095 | Val post/prior Total=13.9097/12.0341, Recon post/prior=1.0212/1.0249, KL=2.6546, | CycSim post total/iv/gm=1.1550/0.5010/0.6540, | CycSim prior total/iv/gm=1.0991/0.4770/0.6222, | CycMeas total/iv/gm=0.2557/0.1035/0.1522, | PriorBnd post/prior=4.73e-03/4.32e-03 | Best 0.1624 | Patience 10/80
 >> Epoch 043 | Train Total=8.0991 | Val post/prior Total=13.4784/11.8746, Recon post/prior=0.9699/0.9735, KL=1.8958, | CycSim post total/iv/gm=1.1552/0.4990/0.6562, | CycSim prior total/iv/gm=1.0886/0.4709/0.6176, | CycMeas total/iv/gm=0.2224/0.0873/0.1351, | PriorBnd post/prior=1.82e-03/1.66e-03 | Best 0.1624 | Patience 11/80
 >> Epoch 044 | Train Total=8.3082 | Val post/prior Total=13.3084/11.8421, Recon post/prior=0.9760/0.9803, KL=1.8777, | CycSim post total/iv/gm=1.1385/0.4946/0.6438, | CycSim prior total/iv/gm=1.0843/0.4718/0.6125, | CycMeas total/iv/gm=0.3125/0.1332/0.1793, | PriorBnd post/prior=2.04e-03/1.96e-03 | Best 0.1624 | Patience 12/80
 >> Epoch 045 | Train Total=8.3461 | Val post/prior Total=13.6939/12.0239, Recon post/prior=1.0013/1.0054, KL=2.0184, | CycSim post total/iv/gm=1.1674/0.5100/0.6574, | CycSim prior total/iv/gm=1.0999/0.4818/0.6181, | CycMeas total/iv/gm=0.3208/0.1344/0.1864, | PriorBnd post/prior=2.63e-03/2.46e-03 | Best 0.1624 | Patience 13/80
 >> Epoch 046 | Train Total=8.3882 | Val post/prior Total=13.1052/11.9776, Recon post/prior=0.9738/0.9786, KL=1.5329, | CycSim post total/iv/gm=1.1356/0.4929/0.6427, | CycSim prior total/iv/gm=1.0983/0.4774/0.6209, | CycMeas total/iv/gm=0.2299/0.0932/0.1366, | PriorBnd post/prior=1.53e-03/1.43e-03 | Best 0.1624 | Patience 14/80
 >> Epoch 047 | Train Total=8.4280 | Val post/prior Total=13.2482/12.0393, Recon post/prior=0.9768/0.9820, KL=1.2848, | CycSim post total/iv/gm=1.1620/0.5070/0.6550, | CycSim prior total/iv/gm=1.1040/0.4829/0.6211, | CycMeas total/iv/gm=0.2532/0.1027/0.1505, | PriorBnd post/prior=1.54e-03/1.52e-03 | Best 0.1624 | Patience 15/80
 >> Epoch 048 | Train Total=7.9688 | Val post/prior Total=11.0912/9.9419, Recon post/prior=0.9827/0.9908, KL=1.4057, | CycSim post total/iv/gm=0.9396/0.4068/0.5328, | CycSim prior total/iv/gm=0.8931/0.3876/0.5055, | CycMeas total/iv/gm=0.3120/0.1301/0.1819, | PriorBnd post/prior=2.04e-03/2.32e-03 | Best 0.1624 | Patience 16/80
 >> Epoch 049 | Train Total=8.2438 | Val post/prior Total=11.9770/11.1003, Recon post/prior=1.0248/1.0349, KL=1.3285, | CycSim post total/iv/gm=1.0277/0.4482/0.5795, | CycSim prior total/iv/gm=1.0047/0.4374/0.5673, | CycMeas total/iv/gm=0.2177/0.0827/0.1350, | PriorBnd post/prior=3.21e-03/3.67e-03 | Best 0.1624 | Patience 17/80
 >> Epoch 050 | Train Total=7.9497 | Val post/prior Total=14.4005/13.2114, Recon post/prior=1.0243/1.0359, KL=1.7907, | CycSim post total/iv/gm=1.2470/0.5471/0.6999, | CycSim prior total/iv/gm=1.2157/0.5343/0.6814, | CycMeas total/iv/gm=0.2250/0.0928/0.1322, | PriorBnd post/prior=3.47e-03/4.27e-03 | Best 0.1624 | Patience 18/80
 >> Epoch 051 | Train Total=8.3668 | Val post/prior Total=12.4288/11.3009, Recon post/prior=0.9659/0.9727, KL=1.2448, | CycSim post total/iv/gm=1.0832/0.4694/0.6137, | CycSim prior total/iv/gm=1.0310/0.4477/0.5833, | CycMeas total/iv/gm=0.2598/0.1051/0.1546, | PriorBnd post/prior=1.39e-03/1.48e-03 | Best 0.1624 | Patience 19/80
 >> Epoch 052 | Train Total=8.7469 | Val post/prior Total=12.2468/11.3053, Recon post/prior=1.0047/1.0156, KL=1.2288, | CycSim post total/iv/gm=1.0618/0.4611/0.6007, | CycSim prior total/iv/gm=1.0270/0.4467/0.5803, | CycMeas total/iv/gm=0.2767/0.1090/0.1676, | PriorBnd post/prior=3.21e-03/3.79e-03 | Best 0.1624 | Patience 20/80
 >> Epoch 053 | Train Total=8.4766 | Val post/prior Total=10.3384/9.2814, Recon post/prior=0.9926/1.0012, KL=1.2661, | CycSim post total/iv/gm=0.8703/0.3795/0.4908, | CycSim prior total/iv/gm=0.8265/0.3605/0.4659, | CycMeas total/iv/gm=0.1581/0.0565/0.1017, | PriorBnd post/prior=2.71e-03/2.88e-03 | Best 0.1624 | Patience 21/80
[Update] best val_cyc_meas improved to 0.158146 @ epoch 53
 >> Epoch 054 | Train Total=8.4167 | Val post/prior Total=12.1818/11.3095, Recon post/prior=1.0177/1.0279, KL=1.1385, | CycSim post total/iv/gm=1.0584/0.4600/0.5984, | CycSim prior total/iv/gm=1.0260/0.4468/0.5792, | CycMeas total/iv/gm=0.3079/0.1242/0.1838, | PriorBnd post/prior=5.93e-03/6.50e-03 | Best 0.1581 | Patience 1/80
 >> Epoch 055 | Train Total=8.2636 | Val post/prior Total=10.1478/9.1127, Recon post/prior=1.0173/1.0255, KL=1.1835, | CycSim post total/iv/gm=0.8528/0.3768/0.4760, | CycSim prior total/iv/gm=0.8071/0.3573/0.4498, | CycMeas total/iv/gm=0.1383/0.0488/0.0895, | PriorBnd post/prior=4.35e-03/4.51e-03 | Best 0.1581 | Patience 2/80
[Update] best val_cyc_meas improved to 0.138327 @ epoch 55
 >> Epoch 056 | Train Total=8.6429 | Val post/prior Total=12.5374/11.6686, Recon post/prior=1.0119/1.0215, KL=1.0219, | CycSim post total/iv/gm=1.1004/0.4800/0.6204, | CycSim prior total/iv/gm=1.0631/0.4645/0.5986, | CycMeas total/iv/gm=0.1451/0.0516/0.0935, | PriorBnd post/prior=3.97e-03/4.40e-03 | Best 0.1383 | Patience 1/80
 >> Epoch 057 | Train Total=8.3525 | Val post/prior Total=13.5343/12.8101, Recon post/prior=1.0431/1.0581, KL=1.1630, | CycSim post total/iv/gm=1.1898/0.5232/0.6667, | CycSim prior total/iv/gm=1.1730/0.5160/0.6570, | CycMeas total/iv/gm=0.2520/0.1006/0.1514, | PriorBnd post/prior=6.50e-03/7.72e-03 | Best 0.1383 | Patience 2/80
 >> Epoch 058 | Train Total=8.0187 | Val post/prior Total=12.2204/11.4722, Recon post/prior=1.0181/1.0325, KL=1.2375, | CycSim post total/iv/gm=1.0573/0.4584/0.5989, | CycSim prior total/iv/gm=1.0419/0.4523/0.5895, | CycMeas total/iv/gm=0.2605/0.1024/0.1581, | PriorBnd post/prior=5.75e-03/6.84e-03 | Best 0.1383 | Patience 3/80
 >> Epoch 059 | Train Total=8.4667 | Val post/prior Total=11.3993/10.7127, Recon post/prior=1.0150/1.0290, KL=1.1596, | CycSim post total/iv/gm=0.9794/0.4214/0.5580, | CycSim prior total/iv/gm=0.9665/0.4161/0.5504, | CycMeas total/iv/gm=0.1956/0.0739/0.1216, | PriorBnd post/prior=4.50e-03/5.30e-03 | Best 0.1383 | Patience 4/80
 >> Epoch 060 | Train Total=8.0565 | Val post/prior Total=12.5770/11.7744, Recon post/prior=1.0900/1.1081, KL=1.3181, | CycSim post total/iv/gm=1.0814/0.4700/0.6114, | CycSim prior total/iv/gm=1.0639/0.4626/0.6013, | CycMeas total/iv/gm=0.3094/0.1247/0.1847, | PriorBnd post/prior=1.62e-02/1.84e-02 | Best 0.1383 | Patience 5/80
 >> Epoch 061 | Train Total=7.9815 | Val post/prior Total=11.3400/10.5045, Recon post/prior=1.0597/1.0772, KL=1.2829, | CycSim post total/iv/gm=0.9627/0.4183/0.5444, | CycSim prior total/iv/gm=0.9406/0.4096/0.5311, | CycMeas total/iv/gm=0.2034/0.0799/0.1235, | PriorBnd post/prior=1.14e-02/1.28e-02 | Best 0.1383 | Patience 6/80
