[log] tee initialized at 2025-11-05 03:24:28 -> temp_Bidi_cvae\session_20251105-032428.log
Using CUDA device 0: NVIDIA GeForce RTX 4060 Laptop GPU
[log] tee initialized at 2025-11-05 03:24:31 -> temp_Bidi_cvae\cvae_20251105-032431\train.log
[L_trust] using 20000 ref rows from temp_Bidi_cvae\proxy\proxy_Ytr_norm.npy
 >> Epoch 055 | Train Total=0.6189 | Val post/prior Total=0.6788/0.7269, Recon post/prior=0.6003/0.5959, KL=0.0242, CycSim post/prior=0.0603/0.0401, CycMeas=0.0988, PriorBnd post/prior=1.54e-04/1.01e-04 | Best 0.0979 | Patience 2/40
 >> Epoch 056 | Train Total=0.6204 | Val post/prior Total=0.6784/0.7290, Recon post/prior=0.6010/0.5978, KL=0.0267, CycSim post/prior=0.0592/0.0400, CycMeas=0.0993, PriorBnd post/prior=1.12e-04/8.99e-05 | Best 0.0979 | Patience 3/40
 >> Epoch 057 | Train Total=0.6211 | Val post/prior Total=0.6823/0.7325, Recon post/prior=0.6006/0.5969, KL=0.0266, CycSim post/prior=0.0628/0.0420, CycMeas=0.1017, PriorBnd post/prior=2.12e-04/1.02e-04 | Best 0.0979 | Patience 4/40
 >> Epoch 058 | Train Total=0.6213 | Val post/prior Total=0.6746/0.7231, Recon post/prior=0.5983/0.5940, KL=0.0238, CycSim post/prior=0.0583/0.0381, CycMeas=0.0992, PriorBnd post/prior=2.63e-04/1.12e-04 | Best 0.0979 | Patience 5/40
 >> Epoch 059 | Train Total=0.6211 | Val post/prior Total=0.6782/0.7267, Recon post/prior=0.5996/0.5957, KL=0.0228, CycSim post/prior=0.0605/0.0399, CycMeas=0.0992, PriorBnd post/prior=1.56e-04/9.98e-05 | Best 0.0979 | Patience 6/40
 >> Epoch 060 | Train Total=0.6223 | Val post/prior Total=0.6738/0.7235, Recon post/prior=0.5991/0.5952, KL=0.0252, CycSim post/prior=0.0569/0.0376, CycMeas=0.0992, PriorBnd post/prior=2.84e-04/9.83e-05 | Best 0.0979 | Patience 7/40
 >> Epoch 061 | Train Total=0.6234 | Val post/prior Total=0.6740/0.7248, Recon post/prior=0.5987/0.5955, KL=0.0237, CycSim post/prior=0.0577/0.0388, CycMeas=0.0986, PriorBnd post/prior=1.24e-04/9.69e-05 | Best 0.0979 | Patience 8/40
 >> Epoch 062 | Train Total=0.6220 | Val post/prior Total=0.6807/0.7287, Recon post/prior=0.6002/0.5962, KL=0.0252, CycSim post/prior=0.0619/0.0420, CycMeas=0.0979, PriorBnd post/prior=2.39e-04/9.77e-05 | Best 0.0979 | Patience 9/40
[Update] best val_cyc_meas improved to 0.097862 @ epoch 62
 >> Epoch 063 | Train Total=0.6226 | Val post/prior Total=0.6733/0.7232, Recon post/prior=0.5979/0.5942, KL=0.0251, CycSim post/prior=0.0576/0.0378, CycMeas=0.0996, PriorBnd post/prior=2.12e-04/1.01e-04 | Best 0.0979 | Patience 1/40
