[log] tee initialized at 2025-11-30 17:56:35 -> /content/drive/MyDrive/DL_Training/ASM_HEMT/model_Uni_2Channel/session_20251130-175635.log
Using CUDA device 0: NVIDIA A100-SXM4-40GB
[log] tee initialized at 2025-11-30 17:56:43 -> /content/drive/MyDrive/DL_Training/ASM_HEMT/model_Uni_2Channel/cvae_20251130-175643/train.log
[Data] Warning: Single measurement sample detected. Duplicating to N=2 for BatchNorm compatibility.
[Info] Loading dual proxies from /content/drive/MyDrive/DL_Training/ASM_HEMT/model_Uni_2Channel/proxy_dual_bigger
[L_trust] using 20000 ref rows from /content/drive/MyDrive/DL_Training/ASM_HEMT/model_Uni_2Channel/proxy_dual_bigger/proxy_Ytr_norm.npy
/usr/local/lib/python3.12/dist-packages/torch/optim/lr_scheduler.py:192: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 >> Epoch 047 | Train Total=4.9497 | Val post/prior Total=15.0541/13.6427, Recon post/prior=0.9285/0.9409, KL=1.1089, | CycSim post total/iv/gm=1.3563/0.5812/0.7751, | CycSim prior total/iv/gm=1.2686/0.5455/0.7230, | CycMeas total/iv/gm=0.2515/0.1040/0.1475, | PriorBnd post/prior=3.01e-03/3.43e-03 | Best 0.1209 | Patience 25/100
 >> Epoch 048 | Train Total=4.9509 | Val post/prior Total=14.6583/13.6557, Recon post/prior=0.9461/0.9621, KL=0.8267, | CycSim post total/iv/gm=1.3291/0.5622/0.7669, | CycSim prior total/iv/gm=1.2680/0.5378/0.7302, | CycMeas total/iv/gm=0.1468/0.0549/0.0919, | PriorBnd post/prior=3.10e-03/4.06e-03 | Best 0.1209 | Patience 26/100
 >> Epoch 049 | Train Total=4.8748 | Val post/prior Total=14.5773/13.8676, Recon post/prior=0.9396/0.9555, KL=0.6206, | CycSim post total/iv/gm=1.3319/0.5636/0.7683, | CycSim prior total/iv/gm=1.2895/0.5467/0.7428, | CycMeas total/iv/gm=0.2442/0.1025/0.1417, | PriorBnd post/prior=2.99e-03/3.79e-03 | Best 0.1209 | Patience 27/100
 >> Epoch 050 | Train Total=5.0673 | Val post/prior Total=16.1793/14.7991, Recon post/prior=0.9186/0.9313, KL=0.6249, | CycSim post total/iv/gm=1.4941/0.6332/0.8609, | CycSim prior total/iv/gm=1.3855/0.5887/0.7968, | CycMeas total/iv/gm=0.1472/0.0602/0.0870, | PriorBnd post/prior=2.14e-03/2.65e-03 | Best 0.1209 | Patience 28/100
 >> Epoch 051 | Train Total=4.9631 | Val post/prior Total=18.3262/16.7337, Recon post/prior=0.9526/0.9665, KL=0.8201, | CycSim post total/iv/gm=1.6955/0.7131/0.9824, | CycSim prior total/iv/gm=1.5751/0.6638/0.9113, | CycMeas total/iv/gm=0.2126/0.0893/0.1233, | PriorBnd post/prior=3.96e-03/5.16e-03 | Best 0.1209 | Patience 29/100
 >> Epoch 052 | Train Total=4.9282 | Val post/prior Total=17.5292/16.0904, Recon post/prior=0.9524/0.9693, KL=0.6986, | CycSim post total/iv/gm=1.6219/0.6900/0.9319, | CycSim prior total/iv/gm=1.5103/0.6446/0.8657, | CycMeas total/iv/gm=0.2448/0.1020/0.1429, | PriorBnd post/prior=3.88e-03/4.89e-03 | Best 0.1209 | Patience 30/100
 >> Epoch 053 | Train Total=4.8686 | Val post/prior Total=24.4303/22.4742, Recon post/prior=0.9934/1.0105, KL=0.7907, | CycSim post total/iv/gm=2.3031/0.9738/1.3294, | CycSim prior total/iv/gm=2.1444/0.9063/1.2381, | CycMeas total/iv/gm=0.2401/0.0972/0.1428, | PriorBnd post/prior=8.76e-03/1.03e-02 | Best 0.1209 | Patience 31/100
 >> Epoch 054 | Train Total=4.9362 | Val post/prior Total=15.7149/14.3575, Recon post/prior=0.9296/0.9445, KL=0.7373, | CycSim post total/iv/gm=1.4409/0.6122/0.8286, | CycSim prior total/iv/gm=1.3398/0.5712/0.7685, | CycMeas total/iv/gm=0.1900/0.0749/0.1151, | PriorBnd post/prior=2.20e-03/2.95e-03 | Best 0.1209 | Patience 32/100
 >> Epoch 055 | Train Total=4.9035 | Val post/prior Total=22.7960/21.2859, Recon post/prior=0.9657/0.9811, KL=0.7950, | CycSim post total/iv/gm=2.1424/0.9010/1.2414, | CycSim prior total/iv/gm=2.0287/0.8534/1.1753, | CycMeas total/iv/gm=0.2224/0.0914/0.1310, | PriorBnd post/prior=4.04e-03/5.14e-03 | Best 0.1209 | Patience 33/100
 >> Epoch 056 | Train Total=4.8656 | Val post/prior Total=16.0440/14.8828, Recon post/prior=0.9774/0.9928, KL=0.9330, | CycSim post total/iv/gm=1.4590/0.6190/0.8401, | CycSim prior total/iv/gm=1.3869/0.5904/0.7965, | CycMeas total/iv/gm=0.2800/0.1163/0.1637, | PriorBnd post/prior=6.37e-03/7.49e-03 | Best 0.1209 | Patience 34/100
