[log] tee initialized at 2025-11-28 16:50:23 -> temp_Unidi_cvae_14param_2channel\session_20251128-165023.log
Using CUDA device 0: NVIDIA GeForce RTX 4060 Laptop GPU
[log] tee initialized at 2025-11-28 16:50:27 -> temp_Unidi_cvae_14param_2channel\cvae_20251128-165027\train.log
[Data] Warning: Single measurement sample detected. Duplicating to N=2 for BatchNorm compatibility.
[Info] Loading dual proxies from temp_Unidi_cvae_14param_2channel/proxy_dual
[L_trust] using 20000 ref rows from temp_Unidi_cvae_14param_2channel/proxy_dual\proxy_Ytr_norm.npy
D:\Miniconda\envs\DL\Lib\site-packages\torch\optim\lr_scheduler.py:182: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 >> Epoch 039 | Train Total=5.7799 | Val post/prior Total=12.8633/12.1317, Recon post/prior=1.0106/1.0214, KL=1.4000, | CycSim post total/iv/gm=1.1142/0.4796/0.6346, | CycSim prior total/iv/gm=1.1093/0.4765/0.6328, | CycMeas total/iv/gm=0.2464/0.1018/0.1445, | PriorBnd post/prior=4.00e-03/4.35e-03 | Best 0.1939 | Patience 15/80
 >> Epoch 040 | Train Total=5.8788 | Val post/prior Total=11.5076/11.0186, Recon post/prior=0.9567/0.9648, KL=0.8734, | CycSim post total/iv/gm=1.0106/0.4344/0.5762, | CycSim prior total/iv/gm=1.0040/0.4314/0.5726, | CycMeas total/iv/gm=0.1932/0.0776/0.1156, | PriorBnd post/prior=7.53e-04/7.56e-04 | Best 0.1939 | Patience 16/80
[Update] best val_cyc_meas improved to 0.193162 @ epoch 40
 >> Epoch 041 | Train Total=5.9693 | Val post/prior Total=10.2307/9.6785, Recon post/prior=0.9825/0.9903, KL=0.9942, | CycSim post total/iv/gm=0.8742/0.3791/0.4951, | CycSim prior total/iv/gm=0.8670/0.3751/0.4919, | CycMeas total/iv/gm=0.2872/0.1170/0.1701, | PriorBnd post/prior=2.12e-03/2.27e-03 | Best 0.1932 | Patience 1/80
 >> Epoch 042 | Train Total=5.6654 | Val post/prior Total=10.4092/9.3639, Recon post/prior=0.9749/0.9829, KL=1.2967, | CycSim post total/iv/gm=0.8777/0.3740/0.5037, | CycSim prior total/iv/gm=0.8364/0.3568/0.4796, | CycMeas total/iv/gm=0.2659/0.1121/0.1538, | PriorBnd post/prior=1.86e-03/2.16e-03 | Best 0.1932 | Patience 2/80
 >> Epoch 043 | Train Total=5.7293 | Val post/prior Total=10.9583/10.2321, Recon post/prior=0.9945/1.0045, KL=1.1130, | CycSim post total/iv/gm=0.9397/0.4050/0.5348, | CycSim prior total/iv/gm=0.9214/0.3977/0.5237, | CycMeas total/iv/gm=0.1333/0.0500/0.0832, | PriorBnd post/prior=3.97e-03/4.73e-03 | Best 0.1932 | Patience 3/80
[Update] best val_cyc_meas improved to 0.133258 @ epoch 43
 >> Epoch 044 | Train Total=5.8506 | Val post/prior Total=10.3831/9.4172, Recon post/prior=0.9832/0.9912, KL=1.3193, | CycSim post total/iv/gm=0.8731/0.3765/0.4966, | CycSim prior total/iv/gm=0.8406/0.3629/0.4777, | CycMeas total/iv/gm=0.3580/0.1536/0.2044, | PriorBnd post/prior=3.55e-03/3.91e-03 | Best 0.1333 | Patience 1/80
 >> Epoch 045 | Train Total=5.7363 | Val post/prior Total=10.9469/10.1849, Recon post/prior=0.9733/0.9818, KL=1.3067, | CycSim post total/iv/gm=0.9311/0.4001/0.5310, | CycSim prior total/iv/gm=0.9184/0.3944/0.5240, | CycMeas total/iv/gm=0.3209/0.1334/0.1875, | PriorBnd post/prior=3.54e-03/4.02e-03 | Best 0.1333 | Patience 2/80
 >> Epoch 046 | Train Total=5.9442 | Val post/prior Total=10.5186/9.7738, Recon post/prior=0.9737/0.9860, KL=1.0036, | CycSim post total/iv/gm=0.9034/0.3850/0.5184, | CycSim prior total/iv/gm=0.8773/0.3746/0.5027, | CycMeas total/iv/gm=0.1733/0.0656/0.1076, | PriorBnd post/prior=4.14e-03/5.09e-03 | Best 0.1333 | Patience 3/80
 >> Epoch 047 | Train Total=5.7422 | Val post/prior Total=12.1354/11.5105, Recon post/prior=1.0274/1.0443, KL=1.1654, | CycSim post total/iv/gm=1.0514/0.4512/0.6002, | CycSim prior total/iv/gm=1.0449/0.4472/0.5977, | CycMeas total/iv/gm=0.1779/0.0681/0.1099, | PriorBnd post/prior=9.18e-03/1.08e-02 | Best 0.1333 | Patience 4/80
 >> Epoch 048 | Train Total=5.7789 | Val post/prior Total=10.0488/9.4409, Recon post/prior=1.0128/1.0271, KL=1.0967, | CycSim post total/iv/gm=0.8477/0.3609/0.4868, | CycSim prior total/iv/gm=0.8396/0.3566/0.4830, | CycMeas total/iv/gm=0.1924/0.0754/0.1170, | PriorBnd post/prior=6.97e-03/8.03e-03 | Best 0.1333 | Patience 5/80
 >> Epoch 049 | Train Total=6.0949 | Val post/prior Total=11.7889/11.4219, Recon post/prior=1.0385/1.0576, KL=0.8685, | CycSim post total/iv/gm=1.0305/0.4425/0.5879, | CycSim prior total/iv/gm=1.0346/0.4427/0.5919, | CycMeas total/iv/gm=0.1795/0.0687/0.1109, | PriorBnd post/prior=9.65e-03/1.15e-02 | Best 0.1333 | Patience 6/80
 >> Epoch 050 | Train Total=5.9127 | Val post/prior Total=10.8856/10.2996, Recon post/prior=0.9670/0.9813, KL=0.7519, | CycSim post total/iv/gm=0.9534/0.4092/0.5442, | CycSim prior total/iv/gm=0.9303/0.3992/0.5311, | CycMeas total/iv/gm=0.1778/0.0688/0.1090, | PriorBnd post/prior=2.28e-03/2.92e-03 | Best 0.1333 | Patience 7/80
 >> Epoch 051 | Train Total=6.0016 | Val post/prior Total=10.9475/10.4567, Recon post/prior=0.9845/1.0027, KL=1.0397, | CycSim post total/iv/gm=0.9434/0.4081/0.5353, | CycSim prior total/iv/gm=0.9438/0.4068/0.5370, | CycMeas total/iv/gm=0.1658/0.0617/0.1041, | PriorBnd post/prior=5.43e-03/6.98e-03 | Best 0.1333 | Patience 8/80
 >> Epoch 052 | Train Total=6.0525 | Val post/prior Total=10.9512/10.4188, Recon post/prior=0.9578/0.9735, KL=0.8662, | CycSim post total/iv/gm=0.9552/0.4134/0.5418, | CycSim prior total/iv/gm=0.9433/0.4080/0.5353, | CycMeas total/iv/gm=0.0926/0.0318/0.0608, | PriorBnd post/prior=1.86e-03/2.64e-03 | Best 0.1333 | Patience 9/80
[Update] best val_cyc_meas improved to 0.092617 @ epoch 52
 >> Epoch 053 | Train Total=5.9707 | Val post/prior Total=9.9931/9.4531, Recon post/prior=1.0231/1.0404, KL=1.0915, | CycSim post total/iv/gm=0.8413/0.3665/0.4748, | CycSim prior total/iv/gm=0.8395/0.3654/0.4741, | CycMeas total/iv/gm=0.1791/0.0688/0.1103, | PriorBnd post/prior=7.22e-03/8.70e-03 | Best 0.0926 | Patience 1/80
 >> Epoch 054 | Train Total=5.9785 | Val post/prior Total=10.8651/10.5057, Recon post/prior=1.0055/1.0221, KL=0.8148, | CycSim post total/iv/gm=0.9442/0.4042/0.5400, | CycSim prior total/iv/gm=0.9466/0.4050/0.5417, | CycMeas total/iv/gm=0.1785/0.0671/0.1114, | PriorBnd post/prior=6.92e-03/8.55e-03 | Best 0.0926 | Patience 2/80
 >> Epoch 055 | Train Total=5.7270 | Val post/prior Total=12.8440/12.5430, Recon post/prior=1.0183/1.0390, KL=0.6220, | CycSim post total/iv/gm=1.1504/0.4962/0.6542, | CycSim prior total/iv/gm=1.1485/0.4949/0.6536, | CycMeas total/iv/gm=0.2007/0.0792/0.1215, | PriorBnd post/prior=7.50e-03/1.01e-02 | Best 0.0926 | Patience 3/80
 >> Epoch 056 | Train Total=5.7562 | Val post/prior Total=11.2459/10.8873, Recon post/prior=1.0163/1.0357, KL=0.8391, | CycSim post total/iv/gm=0.9799/0.4220/0.5579, | CycSim prior total/iv/gm=0.9833/0.4224/0.5609, | CycMeas total/iv/gm=0.1990/0.0749/0.1241, | PriorBnd post/prior=8.55e-03/1.11e-02 | Best 0.0926 | Patience 4/80
 >> Epoch 057 | Train Total=5.7565 | Val post/prior Total=10.5987/10.3503, Recon post/prior=1.0536/1.0764, KL=0.6904, | CycSim post total/iv/gm=0.9188/0.3965/0.5223, | CycSim prior total/iv/gm=0.9253/0.3984/0.5269, | CycMeas total/iv/gm=0.2132/0.0810/0.1322, | PriorBnd post/prior=1.67e-02/2.00e-02 | Best 0.0926 | Patience 5/80
 >> Epoch 058 | Train Total=5.8035 | Val post/prior Total=10.9239/10.6005, Recon post/prior=1.0329/1.0576, KL=0.7607, | CycSim post total/iv/gm=0.9499/0.4035/0.5464, | CycSim prior total/iv/gm=0.9522/0.4031/0.5491, | CycMeas total/iv/gm=0.2234/0.0920/0.1314, | PriorBnd post/prior=1.08e-02/1.42e-02 | Best 0.0926 | Patience 6/80
 >> Epoch 059 | Train Total=5.9364 | Val post/prior Total=10.9908/10.7801, Recon post/prior=1.0324/1.0587, KL=0.7286, | CycSim post total/iv/gm=0.9583/0.4075/0.5508, | CycSim prior total/iv/gm=0.9700/0.4119/0.5581, | CycMeas total/iv/gm=0.2261/0.0872/0.1390, | PriorBnd post/prior=9.43e-03/1.25e-02 | Best 0.0926 | Patience 7/80
